actor_1,actor_2,movie_title,year,genre,director,page_id
נתן כוגן,גילה אלמגור,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
נתן כוגן,אסתר עופרים,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
גילה אלמגור,אסתר עופרים,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
רחל טטרקו (חביב),דוד רם,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
רחל טטרקו (חביב),יצחק בנש,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
רחל טטרקו (חביב),מרגלית שמיט,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
רחל טטרקו (חביב),ששון סער,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
דוד רם,יצחק בנש,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
דוד רם,מרגלית שמיט,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
דוד רם,ששון סער,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
יצחק בנש,מרגלית שמיט,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
יצחק בנש,ששון סער,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
מרגלית שמיט,ששון סער,רחל (סרט),1960,דרמה | פשע,נורי חביב,2518194
אורי זוהר,יהורם גאון,תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
אורי זוהר,מישא אשרוב,תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
אורי זוהר,גברי בנאי,תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
אורי זוהר,"להקת הנח""ל",תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
יהורם גאון,מישא אשרוב,תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
יהורם גאון,גברי בנאי,תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
יהורם גאון,"להקת הנח""ל",תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
מישא אשרוב,גברי בנאי,תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
מישא אשרוב,"להקת הנח""ל",תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
גברי בנאי,"להקת הנח""ל",תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,2504743
עמיקם גורביץ,שלמה בר-שביט,בעל החלומות,1962,,יורם גרוס,857892
עמיקם גורביץ,שמואל עצמון,בעל החלומות,1962,,יורם גרוס,857892
שלמה בר-שביט,שמואל עצמון,בעל החלומות,1962,,יורם גרוס,857892
יוסי בנאי,בומבה צור,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
יוסי בנאי,גילה אלמגור,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
יוסי בנאי,נתן כוגן,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
יוסי בנאי,עמנואל בן עמוס,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
יוסי בנאי,אבנר חזקיהו,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
יוסי בנאי,עודד תאומי,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
יוסי בנאי,גדעון זינגר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
יוסי בנאי,שושנה דואר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
יוסי בנאי,רות שרון,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
בומבה צור,גילה אלמגור,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
בומבה צור,נתן כוגן,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
בומבה צור,עמנואל בן עמוס,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
בומבה צור,אבנר חזקיהו,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
בומבה צור,עודד תאומי,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
בומבה צור,גדעון זינגר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
בומבה צור,שושנה דואר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
בומבה צור,רות שרון,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
גילה אלמגור,נתן כוגן,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
גילה אלמגור,עמנואל בן עמוס,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
