Actor,Degree,Weighted Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Degree Rank,Betweenness Rank,Closeness Rank,Eigenvector Rank,Average Rank
הנרי דוד,43,45.0,0.013629160063391443,0.0006485168021533007,0.40607446951277804,0.007191863990006387,281,396,366,648,422.75
הוגו ירדן,32,33.0,0.010142630744849446,0.0009799483344718949,0.38754738202434413,0.010380001630907632,408,336,486,468,424.5
משה אשכנזי,43,45.0,0.013629160063391443,0.0022315342332256097,0.40100727452943685,0.005456924949035801,281,221,390,822,428.5
מיכל זוארץ,38,39.0,0.012044374009508717,0.00015438819572824057,0.4003789819008867,0.013042843555547674,332,622,395,373,430.5
יואב בר לב,34,36.0,0.010776545166402536,0.0004983245223826129,0.4066108802029659,0.008728954734765886,380,435,362,549,431.5
רענן חפץ,32,33.0,0.010142630744849446,0.00010770435193320339,0.42250203430526256,0.013290550773488091,408,681,271,367,431.75
דני שגב,23,24.0,0.007290015847860539,0.0008778556928546622,0.4171175934886684,0.009907965903272718,591,353,293,493,432.5
אופירה רחמים,35,36.0,0.011093502377179081,0.0003037834019337421,0.4045443207599689,0.01014790879514514,363,519,373,481,434.0
עודד לאופולד,56,58.0,0.01774960380348653,0.0035822887507970065,0.3801621211872006,0.005242743061893826,188,150,556,846,435.0
שבתאי קונורטי,34,34.0,0.010776545166402536,8.6954730283877e-05,0.3982058537825909,0.01999095091705193,380,719,406,238,435.75
יצחק חביס,33,33.0,0.010459587955625991,0.0003342525144110806,0.3845425666601305,0.014813942662518155,397,500,514,333,436.0
בנצי,26,54.0,0.008240887480190175,4.606571200748395e-06,0.4797035888122338,0.037624175288610257,508,1052,85,102,436.75
יהודית סולה,41,42.0,0.012995245641838352,0.000500921727076561,0.377979147899666,0.011560194895660613,304,434,590,427,438.75
אפרת אביב,29,30.0,0.00919175911251981,0.0008433047131915849,0.3918989072698104,0.009358253704981234,445,361,440,513,439.75
עלמה זק,44,45.0,0.013946117274167988,0.004394015070199314,0.38018805105506126,0.005493581671526569,269,122,555,817,440.75
אפרת בן צור,38,39.0,0.012044374009508717,0.0016704384001005276,0.38535106957585813,0.006679442417323707,332,260,505,689,446.5
יעל לבנטל,45,45.0,0.014263074484944533,0.0006960144664039985,0.3821447480392285,0.007583216317070789,260,380,536,625,450.25
דלית קהן,34,35.0,0.010776545166402536,0.00012819797433391813,0.4043796756495163,0.01226020650541535,380,650,376,397,450.75
עומר ברנע,46,46.0,0.014580031695721078,0.0017553214107861842,0.3774672589401679,0.006514890930117773,256,253,594,707,452.5
לוסי דובינצ'יק,41,42.0,0.012995245641838352,0.008832078584721625,0.3950588384561102,0.004096890611555981,304,60,421,1027,453.0
נוה צור,43,49.0,0.013629160063391443,0.0027669613816617513,0.3898474204473229,0.004928263745105301,281,183,458,891,453.25
תומר רוסו,28,31.0,0.008874801901743265,0.0003680324802518728,0.42303232949059766,0.007923423605748136,459,488,270,597,453.5
יעקב איילי,34,35.0,0.010776545166402536,0.00011563252891342495,0.4038016134533266,0.012494410227282643,380,672,380,388,455.0
עירית קפלן,39,39.0,0.012361331220285262,0.0006474764543248727,0.390715911083594,0.007167772483032102,324,397,453,649,455.75
עירית פרנק,35,36.0,0.011093502377179081,8.378365141932913e-05,0.3956223194941679,0.01552543887496278,363,724,418,319,456.0
שירילי דשא,35,35.0,0.011093502377179081,0.00034581503885777493,0.3937351097486052,0.008934032947562882,363,496,430,539,457.0
ח'ליפה נאטור,41,41.0,0.012995245641838352,0.00719252578193224,0.37552658240860687,0.005342293393906482,304,73,616,836,457.25
קובי פרג',36,36.0,0.011410459587955626,0.003060926117125938,0.3795109948300936,0.006135825816496563,349,172,571,742,458.5
שלום מיכאלשווילי,30,35.0,0.009508716323296355,0.001403985340878528,0.4008183814086004,0.006278109341049536,432,280,392,732,459.0
מרלן בג'אלי,23,23.0,0.007290015847860539,0.0003946452483805974,0.39346414569595545,0.014212003858830634,591,474,431,341,459.25
רות סגל,29,29.0,0.00919175911251981,0.0003717321353753415,0.37962110979599734,0.013725220901236996,445,485,568,352,462.5
אילנית בן-יעקב,38,38.0,0.012044374009508717,0.0009796763921801066,0.3823402852946382,0.007131889231149021,332,337,531,653,463.25
כרמית מסילתי קפלן,34,35.0,0.010776545166402536,0.00068906149162419,0.40785918708293684,0.006128351481842341,380,382,350,743,463.75
מיטל גל סויסה,31,31.0,0.0098256735340729,0.0011657382147880818,0.3884136733559056,0.0070571653584140335,420,306,473,658,464.25
רחל דיין,30,32.0,0.009508716323296355,5.7984425991947045e-05,0.3975253300017386,0.020851554522721243,432,789,412,225,464.5
טוביה דובלרו,35,35.0,0.011093502377179081,0.00024731388846536593,0.38277500295047584,0.01166696836783476,363,549,528,421,465.25
יצחק נאמן,24,24.0,0.007606973058637084,0.00038897393715615626,0.38028841902734356,0.01780746960883072,566,476,552,272,466.5
גיא לואל,26,27.0,0.008240887480190175,0.0009038431631521219,0.4124482691141365,0.006729161002555273,508,349,324,686,466.75
רינה גנור,28,31.0,0.008874801901743265,2.8698455830957814e-05,0.4179480207505825,0.021431219170289135,459,905,288,219,467.75
דב פרידמן,33,33.0,0.010459587955625991,7.76810999231662e-05,0.38841386607185957,0.01812334784568473,397,741,472,269,469.75
מישה אשרוב,31,33.0,0.0098256735340729,9.906017749050571e-05,0.3887357757299397,0.01658727816477651,420,693,471,295,469.75
אוראל צברי,35,36.0,0.011093502377179081,0.0015146362113021713,0.3867228962234374,0.006019830121483191,363,271,492,755,470.25
שמעון ישראלי,34,34.0,0.010776545166402536,8.580123609690644e-05,0.38309704517693327,0.018622449901957827,380,720,525,260,471.25
פלורנס בלוך,31,31.0,0.0098256735340729,0.0003111429247280191,0.3878879931167564,0.01034356913099293,420,516,478,471,471.25
אילן תורן,27,28.0,0.00855784469096672,0.00018187364081768224,0.398232412810579,0.011907367233382237,470,601,405,411,471.75
אמנון וולף,27,27.0,0.00855784469096672,0.00019800943332041505,0.39079739774591943,0.012453126922584093,470,584,450,391,473.75
דפנה ארמוני,34,36.0,0.010776545166402536,9.075733991945313e-05,0.3860061860687442,0.015245659242902054,380,705,498,324,476.75
הרצל טובי,33,35.0,0.010459587955625991,0.0019298231755229265,0.4010041704989868,0.004982351036611202,397,235,391,887,477.5
כוכבה הררי,23,26.0,0.007290015847860539,4.1127555647133334e-05,0.4410672933262771,0.017092888409473275,591,845,190,285,477.75
עמי טראוב,35,35.0,0.011093502377179081,0.0002980585272847717,0.3781003671108669,0.010869073210585237,363,522,588,449,480.5
נסים זוהר,25,27.0,0.00792393026941363,1.0392902064537755e-05,0.435406433683433,0.027940188816330362,539,1007,215,163,481.0
לנה אטינגר,33,33.0,0.010459587955625991,0.0003770947931733568,0.3880797271827103,0.008339313635340248,397,482,476,572,481.75
איגור בוריסוב,29,32.0,0.00919175911251981,2.6547571073828554e-05,0.4137120573497965,0.01926454516321192,445,918,315,251,482.25
ראובן שפר,24,27.0,0.007606973058637084,1.9613128921661737e-05,0.4343696813299716,0.024633510922893183,566,953,224,191,483.5
אנה דוברוביצקי,31,32.0,0.0098256735340729,0.000655935218850121,0.3892645106733694,0.007093134766315914,420,394,465,655,483.5
אהובה יובל,35,36.0,0.011093502377179081,4.116334663311963e-05,0.38170674491128553,0.024647017939168785,363,844,538,190,483.75
סיביל ראוך,25,36.0,0.00792393026941363,3.099832652424536e-06,0.45872093658132795,0.024330638252479293,539,1074,129,193,483.75
אוסי הלל,33,34.0,0.010459587955625991,0.00016471886765695342,0.3898086392032777,0.010315240902257876,397,614,459,472,485.5
סמי הורי,34,34.0,0.010776545166402536,0.0001943920646576333,0.3868023222050086,0.01001235050463831,380,589,491,487,486.75
אורנה רוטברג,36,36.0,0.011410459587955626,0.0002494625738016043,0.380962280607601,0.009464418501454781,349,548,546,507,487.5
איתן פריבר,23,26.0,0.007290015847860539,2.3402875151013748e-05,0.4431217805634259,0.01898389965156911,591,932,181,253,489.25
ימית סול,36,36.0,0.011410459587955626,0.0015518192717808462,0.3814569521695286,0.005588392061732904,349,265,540,807,490.25
גבי אלדור,26,27.0,0.008240887480190175,8.896180126434372e-05,0.41662411206884065,0.010919719578287872,508,710,297,447,490.5
יואב רוטמן,38,40.0,0.012044374009508717,0.00244312022765249,0.37905732521894175,0.00522399884950504,332,204,577,850,490.75
מאור שוויצר,56,60.0,0.01774960380348653,0.0063072341697755835,0.3781894446083147,0.0036987599890997663,188,84,585,1107,491.0
מומו,21,45.0,0.006656101426307449,3.7858724410754528e-06,0.47182802582687305,0.028512003454235938,643,1064,102,157,491.5
לירון נירגד,25,27.0,0.00792393026941363,4.288900060626241e-05,0.42071218900916213,0.015980554227528188,539,836,281,310,491.5
רוברט הניג,37,40.0,0.011727416798732172,0.0030612771695252778,0.3747716159627594,0.005431786695516872,344,171,633,823,492.75
צביקה הדר,27,27.0,0.00855784469096672,0.001056521895140636,0.38380509484154823,0.007021353326662077,470,325,520,662,494.25
נטלי עטיה,27,27.0,0.00855784469096672,0.0002305983665603474,0.3887877092489963,0.010248963805590325,470,561,470,477,494.5
ליאוניד יופיטר,22,27.0,0.006973058637083994,1.725142290741077e-06,0.4746653516209308,0.024882049704504843,621,1085,96,185,496.75
עמי ויינברג,32,34.0,0.010142630744849446,0.000588188679648305,0.39475828981421585,0.006109219765724494,408,412,422,745,496.75
יניב ביטון,39,39.0,0.012361331220285262,0.0017648435204598702,0.3766060320238728,0.0055401982119454305,324,251,600,813,497.0
אהרן מסקין,24,26.0,0.007606973058637084,4.1958523176748325e-06,0.4329964376883749,0.03147538030160983,566,1057,231,136,497.5
דני רוט,34,35.0,0.010776545166402536,0.00015265832285403923,0.3852826883802913,0.009939565951130842,380,624,506,490,500.0
דוידה קרול,36,36.0,0.011410459587955626,0.0003171035793326928,0.37976960540269084,0.008238570998832358,349,510,565,576,500.0
ברכה נאמן,31,31.0,0.0098256735340729,2.40511648157412e-05,0.3849699406758609,0.030171135656201997,420,930,510,144,501.0
אביבה פז,32,33.0,0.010142630744849446,1.9167503276932903e-05,0.38891183957616776,0.02513781945149996,408,957,469,181,503.75
הילה פלדמן,29,29.0,0.00919175911251981,0.00012527835688096354,0.3892623815130443,0.010708895759002345,445,655,466,458,506.0
ג'וזי כץ,25,27.0,0.00792393026941363,1.8469054593534153e-05,0.4123574078394524,0.023262653159013134,539,961,326,201,506.75
מרק רוזנבאום,32,32.0,0.010142630744849446,0.0001846439726175505,0.38787174267921526,0.008690708331772483,408,597,480,551,509.0
שפרירה זכאי,36,36.0,0.011410459587955626,0.00030038151747810985,0.37502869634931624,0.008865361857206712,349,521,627,543,510.0
אביגיל הררי,33,33.0,0.010459587955625991,0.00037091773224162336,0.385440286091318,0.007075073854773617,397,487,504,657,511.25
יוסי ידין,28,28.0,0.008874801901743265,2.522679639353858e-05,0.39089793755640234,0.020981512884019293,459,923,446,220,512.0
עירית גדרון,31,32.0,0.0098256735340729,0.00037412426001902295,0.39083791533325063,0.006601859611312543,420,484,449,697,512.5
שמעון פינקל,27,27.0,0.00855784469096672,0.00016017220744043618,0.3723264614461847,0.016691155851946835,470,617,672,293,513.0
סמדר ברנר,26,27.0,0.008240887480190175,6.377703191472768e-05,0.39417589516614043,0.01384128327329609,508,777,427,349,515.25
אורנה פורת,27,27.0,0.00855784469096672,7.043676264869578e-05,0.39385458165894593,0.012007779737905063,470,760,428,403,515.25
אדיב ג'השאן,24,25.0,0.007606973058637084,0.0006070612937266445,0.37968019128161407,0.009155230927759649,566,403,567,525,515.25
ליה דוליצקיה,26,27.0,0.008240887480190175,4.7041795746705636e-05,0.3899619326822458,0.01765023058443919,508,824,457,274,515.75
תחיה דנון,24,24.0,0.007606973058637084,0.00014580484661906433,0.38939281943352966,0.01195199622970372,566,632,462,408,517.0
הילה ערן,26,27.0,0.008240887480190175,0.00031166834017030504,0.3956812426083076,0.007521793386364656,508,515,417,628,517.0
דנה פרנס,20,22.0,0.006339144215530904,5.547657483979761e-05,0.4294067141270415,0.012777246554124029,653,795,244,378,517.5
מילי אביטל,34,34.0,0.010776545166402536,0.00019718876240603286,0.3792543694127676,0.009110261258216144,380,585,576,530,517.75
נטע מורן,22,23.0,0.006973058637083994,0.0003311248937148244,0.4078818308740913,0.007846732406589558,621,502,349,606,519.5
שולה חן,27,27.0,0.00855784469096672,0.00010143085504335332,0.3767294942588736,0.015519712897870451,470,690,599,321,520.0
אורי גוטליב,34,34.0,0.010776545166402536,0.00017139203422229812,0.387882334137071,0.007775079295028952,380,607,479,616,520.5
יניב סוויסה,29,31.0,0.00919175911251981,0.0001941619886783725,0.4061586491401187,0.0067198308922658875,445,591,365,687,522.0
רות פרחי,30,30.0,0.009508716323296355,0.00024563306024342796,0.38214982628330163,0.008269621198786443,432,550,535,574,522.75
חיים אלמקיס,26,27.0,0.008240887480190175,7.96861977567785e-05,0.4013435702170636,0.010620963336936878,508,737,388,464,524.25
אורלי פרל,27,28.0,0.00855784469096672,6.597066749748573e-05,0.3919910073461612,0.011579946705111966,470,769,438,426,525.75
רינת מטטוב,28,29.0,0.008874801901743265,0.0003394122500738948,0.41236534815545645,0.005410313257697479,459,497,325,827,527.0
גלי עטרי,23,27.0,0.007290015847860539,0.00012819134810478235,0.41271944933054305,0.00861824581107365,591,651,322,552,529.0
ג'וקי ארקין,28,28.0,0.008874801901743265,1.336566551467359e-06,0.3995238179749255,0.02468395484697994,459,1089,398,188,533.5
אבי אוריה,27,27.0,0.00855784469096672,0.00016634209440969064,0.38113708300153915,0.00937767922755016,470,612,544,510,534.0
שרגא הרפז,31,31.0,0.0098256735340729,0.00029197184271513945,0.3731997718150088,0.008898668620161395,420,526,655,542,535.75
שרון הכהן-בר,23,23.0,0.007290015847860539,8.258908681604507e-05,0.3908675771915957,0.012770171225472563,591,727,447,379,536.0
אלי יצפאן,25,25.0,0.00792393026941363,0.0004144903179780101,0.38414451853116743,0.007486227720197128,539,463,517,631,537.5
דוד שאול,32,36.0,0.010142630744849446,0.0011152430444070535,0.39078044745461815,0.004417178303488112,408,311,452,983,538.5
רזיה ישראלי,27,28.0,0.00855784469096672,0.00013054411328925636,0.3917337196750078,0.007917915006477174,470,647,441,598,539.0
זארה ורתניאן,25,26.0,0.00792393026941363,8.835468456202768e-06,0.4217620173449721,0.015525280000898003,539,1023,277,320,539.75
ישראל קטורזה,36,36.0,0.011410459587955626,0.0004898847634626108,0.3797205237274562,0.005551109248847733,349,437,566,810,540.5
אלכס מונטה,29,29.0,0.00919175911251981,0.00025812582092412295,0.3742345962832993,0.008988216217621045,445,539,641,538,540.75
אמנון מסקין,33,33.0,0.010459587955625991,0.00014189530506121556,0.37613363266687444,0.009170774552810873,397,634,608,524,540.75
משה פרסטר,43,43.0,0.013629160063391443,0.0007679786834083901,0.3696989100488917,0.005651824315014511,281,370,713,801,541.25
רוני בליץ,27,27.0,0.00855784469096672,7.252476534083389e-05,0.3928782869646525,0.009452738496993672,470,756,433,508,541.75
לואיס רוזנברג,20,20.0,0.006339144215530904,0.00010496594298814595,0.37938660193432283,0.01886628323322494,653,688,573,255,542.25
אורנה בנאי,27,27.0,0.00855784469096672,0.0003754100324981325,0.3809168854302708,0.006895188482625217,470,483,548,669,542.5
שלמה גולדברג,26,26.0,0.008240887480190175,6.101971381891627e-05,0.3793894620342916,0.015119504918908167,508,784,572,327,547.75
יעל אביב,32,32.0,0.010142630744849446,3.6495811860177015e-05,0.37294744242425665,0.01897005433300289,408,870,660,254,548.0
מאיה מרון,25,25.0,0.00792393026941363,0.0001365127606727748,0.3866930960126633,0.009119180005639074,539,641,493,527,550.0
אירית אלטר,23,26.0,0.007290015847860539,0.00023342509817305036,0.38697772263175145,0.008362809215915477,591,557,490,570,552.0
חנה רוט,27,27.0,0.00855784469096672,3.211502462466973e-05,0.38224069784391135,0.015793934397316207,470,891,534,314,552.25
קונסטנטין אנטול,36,36.0,0.011410459587955626,0.0003127205414282859,0.37141931779278514,0.006967504840948181,349,513,684,665,552.75
אפרת דור,24,25.0,0.007606973058637084,0.00019425703884486833,0.3946558652098193,0.0074461167773501955,566,590,424,633,553.25
מיטל דוהן,29,29.0,0.00919175911251981,7.01043271331763e-05,0.3877261901039806,0.009138554523254197,445,761,482,526,553.5
טובה פרדו,24,25.0,0.007606973058637084,9.1759037258275e-06,0.3924911170375548,0.023335772723469563,566,1018,436,198,554.5
אמיתי יעיש בן אוזיליו,27,27.0,0.00855784469096672,0.0015264511577456356,0.3731384607157413,0.005399428231238685,470,270,657,831,557.0
שירי גדני,30,30.0,0.009508716323296355,0.000105133073465164,0.38063906557810806,0.008472441883693223,432,687,549,560,557.0
דורון צברי,28,29.0,0.008874801901743265,0.0002929273960747112,0.39376527902825825,0.005484636026101018,459,525,429,818,557.75
אדית אסטרוק,26,26.0,0.008240887480190175,4.1077528181670824e-05,0.3757716724170116,0.01816291445361958,508,847,612,267,558.5
גבי דן,22,24.0,0.006973058637083994,0.0006733435262152203,0.4170152345789713,0.004702641152185245,621,390,294,934,559.75
תום גרציאני,21,21.0,0.006656101426307449,0.0012002232602125837,0.37959679107861094,0.006211924336181482,643,302,569,739,563.25
מילי עשת,38,39.0,0.012044374009508717,0.0018634826905440528,0.37282184952531383,0.004062095755014261,332,240,663,1033,567.0
יוסף אבו ורד,23,25.0,0.007290015847860539,4.830514363657098e-05,0.40912573026910437,0.009117985232143317,591,818,343,528,570.0
דני ליטני,26,26.0,0.008240887480190175,5.658766527162962e-05,0.38581429768488223,0.010055085883922638,508,790,501,484,570.75
איציק סיידוף,27,27.0,0.00855784469096672,0.00027221352692900243,0.37047991655176327,0.008100441119546366,470,532,695,588,571.25
גלעד קלטר,26,26.0,0.008240887480190175,3.72109142568486e-05,0.385812966673985,0.01181466861038693,508,867,502,412,572.25
חני פירסטנברג,25,26.0,0.00792393026941363,8.149926014048905e-05,0.3894051513387219,0.00847022334183318,539,730,461,561,572.75
לי את גליק,29,29.0,0.00919175911251981,0.00016931782200716526,0.3810614502574386,0.006595434998659776,445,610,545,698,574.5
עירית שילה,22,22.0,0.006973058637083994,5.2107332911989325e-05,0.3882701102982192,0.011984542541661548,621,804,475,404,576.0
אסי הנגבי,27,27.0,0.00855784469096672,3.0067480744273456e-05,0.38447537425283185,0.011409698651883512,470,901,515,434,580.0
דני חדד,23,26.0,0.007290015847860539,0.00847985428969304,0.36006871747403024,0.006608322200134809,591,63,978,696,582.0
מורן אטיאס,24,24.0,0.007606973058637084,7.414579822128175e-05,0.38769770711511403,0.009100409593168112,566,752,483,531,583.0
לידיה אופיר,17,18.0,0.005388272583201268,5.694644454873459e-07,0.4320643368423553,0.02568670856483226,828,1097,235,178,584.5
זוהר זמיר,27,27.0,0.00855784469096672,0.00028893267171701403,0.3702571663772108,0.007296031785168306,470,528,701,642,585.25
שירי גולן,25,26.0,0.00792393026941363,7.836298406956919e-05,0.3893881709599368,0.007888015895519278,539,740,463,600,585.5
עדי הימלבלוי,22,22.0,0.006973058637083994,0.00023298250201314274,0.38454288148307764,0.007152771154875287,621,558,513,651,585.75
ריימונד אבקסיס,28,28.0,0.008874801901743265,8.337511054959988e-05,0.38137124204359385,0.007729132432387379,459,726,542,617,586.0
הלנה ירלובה,25,25.0,0.00792393026941363,0.00013532075438722798,0.3793859890613685,0.007984808460446862,539,643,574,592,587.0
הילי ילון,28,28.0,0.008874801901743265,9.808609776353615e-05,0.3843199271019359,0.006796330237605635,459,694,516,681,587.5
יוסי יבלונקה,27,27.0,0.00855784469096672,4.61108992978386e-05,0.383399620512687,0.008990034375016755,470,826,523,537,589.0
רוי מילר,43,44.0,0.013629160063391443,0.0013615757281986492,0.36928266650302294,0.003928585563016021,281,285,728,1062,589.0
שיש קולר,25,25.0,0.00792393026941363,9.53329788317133e-05,0.37336061644682966,0.010555407622461493,539,698,653,466,589.0
דור צויגנבום,19,20.0,0.006022187004754358,0.0005818755728713353,0.4178955156054053,0.004445084935245596,672,415,291,979,589.25
אמיר אוריין,21,21.0,0.006656101426307449,1.347658274540045e-05,0.3879041594890783,0.018440772350332115,643,980,477,262,590.5
אלירן כספי,26,27.0,0.008240887480190175,0.00010566568920711161,0.3837519128838851,0.007166183954666678,508,685,521,650,591.0
סוניה מרטין,17,27.0,0.005388272583201268,1.084694181880659e-07,0.44126643708516805,0.02046356445315069,828,1118,189,230,591.25
חנה ריבר,25,25.0,0.00792393026941363,5.3070548422299854e-05,0.3823081693634484,0.009708079894287772,539,799,532,498,592.0
פיטר פריישטדט,26,26.0,0.008240887480190175,2.2836456248811155e-05,0.38134360249745314,0.012554101293503645,508,933,543,385,592.25
בסאם זועמוט,22,23.0,0.006973058637083994,5.0947346671133144e-05,0.42249116530366493,0.006844468686575035,621,810,272,675,594.5
מלי לוי,26,28.0,0.008240887480190175,0.00029391723325866844,0.38776118617144983,0.0051129782437577655,508,524,481,870,595.75
מישא אשרוב,21,22.0,0.006656101426307449,4.571028893525319e-06,0.400503135087226,0.01644080200519885,643,1053,393,299,597.0
דודו טסה,27,27.0,0.00855784469096672,9.559718742166062e-05,0.38226836388622265,0.006667484591743653,470,697,533,690,597.5
רומי אבולעפיה,29,29.0,0.00919175911251981,0.0003097779710680132,0.37247387230336343,0.005958299752530364,445,517,671,758,597.75
רותם קינן,22,23.0,0.006973058637083994,0.0007405850006037053,0.4068937984439097,0.0039846449050819415,621,372,359,1047,599.75
אדיר מילר,39,40.0,0.012361331220285262,0.0016054818560551428,0.3761363033661312,0.0031370164153387754,324,262,607,1208,600.25
קלרה ח'ורי,21,22.0,0.006656101426307449,0.00011999274817483423,0.3919567046032487,0.007138101927621491,643,668,439,652,600.5
ירון ברובינסקי,27,27.0,0.00855784469096672,4.130254059470027e-05,0.3859486291134208,0.007990428898720125,470,843,499,591,600.75
אורי יניב,32,32.0,0.010142630744849446,0.0036268414174937774,0.3649195031049122,0.00416499397849469,408,147,828,1022,601.25
יונתן בר-אור,21,21.0,0.006656101426307449,0.0024289413281915802,0.368490022947562,0.005543089654688226,643,206,748,812,602.25
דקל עדין,27,27.0,0.00855784469096672,0.00019453247000410795,0.3802621881376649,0.0055294840998239905,470,588,553,815,606.5
רן בכור,18,18.0,0.005705229793977813,0.00038205991161594947,0.37557062175886957,0.007095989593823297,679,481,613,654,606.75
ארז שפריר,32,32.0,0.010142630744849446,0.0011092928071676099,0.36929329296302427,0.0044031143911047645,408,313,727,985,608.25
תום אבני,26,27.0,0.008240887480190175,0.0005052997557760432,0.3755476599543463,0.005041432386153585,508,433,615,877,608.25
אריאלה רובינוביץ,26,27.0,0.008240887480190175,4.2041029562544754e-05,0.37691446643530563,0.01000542264005568,508,839,598,488,608.25
גילי בן אוזיליו,30,30.0,0.009508716323296355,0.00045888276172880116,0.36663880572578256,0.00583417959879172,432,452,783,773,610.0
ג'וליה מסלאווי,24,27.0,0.007606973058637084,3.096003104039488e-05,0.4311856603748248,0.0060962868817745815,566,896,239,746,611.75
שולה רווח,17,18.0,0.005388272583201268,4.354728112550293e-07,0.41396335158439795,0.02322173981104549,828,1104,313,202,611.75
יענקל'ה בן-סירא,16,18.0,0.005071315372424723,0.0,0.4327299104736705,0.02370865668008477,902,1122,232,195,612.75
יוסי אלפי,16,18.0,0.005071315372424723,4.019749026969501e-07,0.4379634076066333,0.01996943420112625,902,1108,206,239,613.75
מאור כהן,41,41.0,0.012995245641838352,0.00048402559800280365,0.36714646415679786,0.004620804644574636,304,439,771,947,615.25
חיים שריר,26,26.0,0.008240887480190175,0.00012462902021822164,0.3793558790087362,0.006348711710868813,508,659,575,728,617.5
יעל פרל בקר,23,23.0,0.007290015847860539,0.0005249968286001074,0.3694323255751731,0.006223545783972096,591,426,723,737,619.25
סיגלית פוקס,24,24.0,0.007606973058637084,7.505927466221798e-05,0.38014739361271765,0.00781807958013008,566,749,559,607,620.25
עידית צור,22,24.0,0.006973058637083994,7.422870455460416e-05,0.38629816803111805,0.007530522261539524,621,751,494,627,623.25
זהבה בן,17,18.0,0.005388272583201268,5.359665369292668e-07,0.4320517250433457,0.014910781608368982,828,1100,236,332,624.0
סמי סמיר,22,23.0,0.006973058637083994,2.7630348799232825e-05,0.42611094954346673,0.006455432427127589,621,912,258,713,626.0
פירה קנטור,27,27.0,0.00855784469096672,0.0005401326750076144,0.3722090532709636,0.0046834471011527445,470,422,675,938,626.25
שרון שטרק,24,24.0,0.007606973058637084,0.0005741751297353877,0.3764280192508015,0.004711044251223231,566,416,602,932,629.0
אביב אלקבץ,24,24.0,0.007606973058637084,0.0008185698011036066,0.3696803266160448,0.00507472238008815,566,364,714,873,629.25
אלון פדות,30,32.0,0.009508716323296355,0.0006845471651845626,0.3804628088835347,0.003420798749261893,432,386,551,1151,630.0
ליאורה טיקוצקי,16,18.0,0.005071315372424723,1.507405885113563e-07,0.43441033664686074,0.017286323836534074,902,1117,222,279,630.0
מירי אלוני,21,22.0,0.006656101426307449,3.14251634994119e-05,0.3764169178935532,0.012646067175057271,643,893,603,384,630.75
איצקו רחמימוב,18,18.0,0.005705229793977813,4.045590270714304e-05,0.36962487839548147,0.017275359313808535,679,849,716,280,631.0
בני אבני,35,36.0,0.011093502377179081,0.0005908613879503612,0.3667914847217261,0.004497396827314301,363,411,776,975,631.25
נינט דינר,35,35.0,0.011093502377179081,8.056560235414951e-05,0.35875402675474105,0.012072411330183497,363,735,1028,400,631.5
ברי סימון,15,18.0,0.004754358161648178,2.4118494161817007e-07,0.4407888931259278,0.01742206105878203,946,1114,191,277,632.0
הלל מיטלפונקט,16,18.0,0.005071315372424723,1.0049372567423753e-07,0.43492730591344625,0.016869483807411514,902,1119,220,289,632.5
ענת צחור,17,18.0,0.005388272583201268,4.522217655340689e-07,0.421892108072193,0.015190178383922266,828,1103,276,325,633.0
עודד מנסטר,24,25.0,0.007606973058637084,0.0010243553517676675,0.38154154376131477,0.003742398474759122,566,329,539,1100,633.5
ליאת אקטע,40,40.0,0.012678288431061807,0.0015324464939785948,0.36321707398309255,0.0038409034922565637,318,268,871,1078,633.75
תמרה דיין,18,18.0,0.005705229793977813,4.0197490269695013e-07,0.39557913813087087,0.014992517648242634,679,1107,419,330,633.75
דורון אברהמי,22,23.0,0.006973058637083994,4.036310160257639e-05,0.38594421049759753,0.008413517579948715,621,851,500,564,634.0
דב רייזר,33,33.0,0.010459587955625991,0.00024999202941098633,0.36230116007543955,0.006621784304496736,397,546,902,695,635.0
עלי סלימאן,25,27.0,0.00792393026941363,0.000519921326156164,0.38413936619148664,0.003934755115998155,539,427,518,1061,636.25
הילה סעדה,20,20.0,0.006339144215530904,0.00018707005413016922,0.385238638037597,0.0057462171102689195,653,594,508,791,636.5
חיה קציר,17,18.0,0.005388272583201268,4.196809400776491e-07,0.4127099239574915,0.016864423943446633,828,1105,323,290,636.5
אביתר לזר,31,31.0,0.0098256735340729,0.009126487414093365,0.3523003464760195,0.005331318315039308,420,57,1233,838,637.0
שרון הכהן,25,27.0,0.00792393026941363,0.00010135686794634381,0.37700873542481766,0.006368994183617589,539,691,596,724,637.5
אסף בן שמעון,27,27.0,0.00855784469096672,0.005444301999249222,0.3646303234719605,0.0034582586191110698,470,100,836,1148,638.5
ירון מוטולה,27,27.0,0.00855784469096672,8.233695677095347e-05,0.38015188560710755,0.005650921320745448,470,728,557,802,639.25
דוד דנינו,25,25.0,0.00792393026941363,1.945484019523211e-05,0.38523868016606294,0.008497393508770764,539,956,507,559,640.25
דוד מנחם,18,18.0,0.005705229793977813,1.6078996107878005e-06,0.38625026423140735,0.016362787827557013,679,1088,496,301,641.0
יהודית מילוא,18,18.0,0.005705229793977813,3.6585299130182144e-06,0.3876151620948531,0.01401489927295194,679,1066,485,347,644.25
נורית כהן,18,18.0,0.005705229793977813,1.0980614425338348e-05,0.3852161427529,0.01253992926025546,679,1002,509,387,644.25
