actor_1,actor_2,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_community,degree_sum,pagerank_sum,label,prediction_score,future_movie,future_year
יואב רוטמן,מיכאל וייגל,0,0.0,0.0,207,3,0,32,0.0008648958964733069,1,0.464612192780813,עקרה (סרט),2022
יואב רוטמן,רננה רז,0,0.0,0.0,207,3,0,32,0.0008648958964733069,1,0.464612192780813,עקרה (סרט),2022
אורנה כץ,יואב רוטמן,0,0.0,0.0,115,3,0,28,0.0007840331225316572,1,0.4646882631059037,המנצחים (סרט),2023
יואב רוטמן,יותם קושניר,0,0.0,0.0,207,3,0,32,0.0008736365154508504,1,0.4657617033958212,המנצחים (סרט),2023
ליאת הר לב,מוריס כהן,0,0.0,0.0,180,3,0,29,0.0007991176448631421,1,0.4666295300282805,"השתיקה (סרט, 2022)",2022
דור הררי,יואב רוטמן,0,0.0,0.0,138,3,0,29,0.0008126028518250396,1,0.4670765236006803,המנצחים (סרט),2023
לני כהן,תובל שפיר,0,0.0,0.0,216,3,0,33,0.0010123893061970118,1,0.46869561472159427,ילד זין (סרט),2025
נעמה פרייס,עירית גדרון,0,0.0,0.0,161,3,0,30,0.0008661070746095935,1,0.469257737845331,הפילגש,2022
יואל רוזנקיאר,ישי גולן,0,0.0,0.0,440,4,0,63,0.0017241731023087566,1,0.4698998996915073,תוכנית א' (סרט),2021
עלמה זק,רותם סלע,0,0.0,0.0,315,3,0,44,0.0011378747870131856,1,0.47024374201924923,עולה לראש,2022
משה פרסטר,נועה קירל,0,0.0,0.0,225,3,0,34,0.0009265496825509843,1,0.4714210922244142,אוהב אותך צ'ארלי,2022
גורי אלפי,דניאל גל,1,0.021739130434782608,0.24842549839846914,342,2,0,47,0.0013305426463046687,1,0.4717381142857125,עוד סיפור אחד,2021
אלון לשם,יעל לבנטל,0,0.0,0.0,135,3,0,32,0.0008406783726834659,1,0.47376172938791883,אדמה בוערת (סרט ישראלי),2022
אלישע בנאי,רן דנקר,0,0.0,0.0,315,3,0,44,0.0012555971960549477,1,0.4741272706263475,אחד בלב,2021
דובר קוסאשווילי,עירית שלג,0,0.0,0.0,243,3,0,36,0.0009409699495967205,1,0.47454496888080516,טרופיקנה (סרט),2024
משה פרסטר,עדי הימלבלוי,0,0.0,0.0,225,3,0,34,0.0008906571258483098,1,0.4747804793643142,אוהב אותך צ'ארלי,2022
דניאל מורשת,ריימונד אמסלם,0,0.0,0.0,693,3,0,86,0.002338260591982845,1,0.4770156212575878,חשבונות שמיים,2025
שירי גדני,תום חגי,0,0.0,0.0,234,3,0,35,0.0008974380476591198,1,0.4771501021653087,10 חודשים,2024
אביגיל הררי,אלישע בנאי,0,0.0,0.0,216,3,0,33,0.0008884024424606286,1,0.47729644718500236,אחד בלב,2021
חן אמסלם,יניב סוויסה,2,0.08,0.5648449061140617,162,2,0,27,0.0007185549411181072,1,0.4805350240285763,אמצע החיים (סרט),2024
ליטל שוורץ,רועי אסף,0,0.0,0.0,190,3,0,43,0.0012177704167411591,1,0.48210330357148007,חמדה (סרט),2024
אליעד נחום,משה פרסטר,0,0.0,0.0,225,3,0,34,0.0009130032296940942,1,0.48225624520379246,אוהב אותך צ'ארלי,2022
מוטי בן ישי,עודד מנסטר,0,0.0,0.0,20,8,0,21,0.000995776640002393,1,0.48346458917300805,"תמונות יפואיות (סרט, 2024)",2025
נואל ברקוביץ',שירן סנדל,1,0.04,0.318928988903801,153,2,0,26,0.0008572965462781946,1,0.4838924639027468,"שמלת השבת של חנה'לה (סרט, 2021)",2021
יותם קושניר,עמית פרקש,0,0.0,0.0,207,3,0,32,0.0009821416680636443,1,0.48740161007059535,המנצחים (סרט),2023
אורנה כץ,עמית פרקש,0,0.0,0.0,115,3,0,28,0.0008925382751444511,1,0.4879025937639769,המנצחים (סרט),2023
דור הררי,עמית פרקש,0,0.0,0.0,138,3,0,29,0.0009211080044378335,1,0.4893837123434262,המנצחים (סרט),2023
