page_id,movie_title,year
651472,שאנן שיא,1991
1071366,אדי קינג,1992
928620,אזרח אמריקאי,1992
2431255,גברת תפתחי זה אני,1992
793105,האסיסטנט של אלוהים,1992
59516,החיים על פי אגפא,1992
187579,חסד מופלא,1992
770366,טיפת מזל,1992
433415,כבלים (סרט),1992
2111858,להב חצוי,1992
1731455,להיטים מצוירים משלנו,1992
1640606,ללקק ת'תות,1992
2055662,מאחורי הסורגים 2,1992
213577,סיפורי תל אביב,1992
402186,קורבן האהבה,1992
2188290,קיץ אצל אריקה,1992
2025532,שנת 66' הייתה טובה לתיירות,1992
995052,גולם במעגל (סרט),1993
1934282,גרופי,1993
1692665,"הירושה (סרט, 1993)",1993
2170032,הסרט שלא היה,1993
280503,זהר (סרט),1993
2479127,חבר ואח,1993
1134876,כמו גדולים 2,1993
1592112,מחפשת בעל על ארבע,1993
1579953,מנת יתר (סרט),1993
160162,נקמתו של איציק פינקלשטיין,1993
1285729,עגיל בזין,1993
2093317,קופסה שחורה (סרט),1993
1802803,שלג באוגוסט,1993
2134908,אחרי החגים (סרט),1994
1779071,איה: אוטוביוגרפיה דמיונית,1994
2296503,אליעזר והגזר (סרט),1994
1317693,ארץ חדשה (סרט),1994
2333455,בדרכה של אנה פרנק,1994
664608,"בית (סרט, 1994)",1994
242296,האח של דריקס,1994
1643368,הגמל המעופף (סרט),1994
1987203,המרחק,1994
942042,הקצ לדמעות,1994
747753,מקס ומוריס,1994
1657307,סיפור שמתחיל בלוויה של נחש,1994
2230137,"צלקת (סרט, 1994)",1994
2213701,קפה עם לימון,1994
189202,שחור (סרט),1994
213397,שירת הסירנה (סרט),1994
577181,שמיכה חשמלית ושמה משה,1994
181315,ב-72 לא הייתה מלחמה,1995
390201,הכוכב הכחול (סרט),1995
607835,הרפתקאות שלומיאל,1995
2088765,זכרון דברים (סרט),1995
189181,חולה אהבה בשיכון ג',1995
1764968,ילדי קניון הזהב,1995
2092757,לילה לבן (סרט),1995
189267,לילסדה,1995
1734892,עץ הדומים תפוס (סרט),1995
2501669,קהילת קדושים,1995
2169554,שחקנים (סרט),1995
1050356,אבא עושה בושות (סרט),1996
2185579,אושר ללא גבול,1996
396747,בוכה בגשם,1996
188091,בית שאן: סרט מלחמה,1996
1660331,האיטלקים באים,1996
211984,זולגות הדמעות מעצמן,1996
477436,לנגד עיניים מערביות,1996
2438804,מי האבא?,1996
2271616,מלכה לב אדום,1996
272850,משחק חייו,1996
1933592,"סקס, שקרים וארוחת ערב",1996
418041,צעירים לנצח,1996
1785829,קיצור תולדות האוהבים,1996
186261,קלרה הקדושה,1996
272860,קשר דם (סרט),1996
272847,שאכטה (סרט),1996
501216,תאונה בערבה,1996
761132,אהבה אסורה,1997
1668864,אין שמות על הדלתות,1997
2086850,בן-גוריון (סרט),1997
201355,בעל בעל לב,1997
2177192,דומינו (סרט),1997
2076298,הבחור של שולי,1997
1084019,המקלחת,1997
1651524,ז'נטילה,1997
2081139,מינוטאור (סרט),1997
214504,מר באום,1997
2239902,נקמה יהודית,1997
2227242,סוף המשחק (סרט),1997
186250,עפולה אקספרס,1997
582346,פתיחה 1812 (סרט),1997
272903,שבזי (סרט),1997
1975046,"אהבה ממבט שני (סרט, 1998)",1998
280515,באזז,1998
382929,בגין (סרט),1998
2172619,חתולות הרעם,1998
2225827,יום יום (סרט),1998
1764070,כרוניקה של אהבה,1998
1736260,מסוכנת,1998
1766944,סודות משפחה,1998
172981,סוסי ים (סרט),1998
