Community,Actors,Associated Movies,Associated Movie Share (%),Cross-Community Movies,Top Actors,Dominant Genres,Dominant Directors,Main Activity Period,Average Movie Year,First Movie Year,Last Movie Year
13,85,23,2.63,17,"מיכאל אלוני, עוז זהבי, רמי הויברגר, גיא אדלר, אלון פדות","דרמה (13), דרמה קומית (2), להט""בי (2), קומדיה (2), אימה (2)","איתן גרין (2), מיכאל מאיר (2), ג'ולי שלז (1), דרור שאול (1), איתן פוקס (1)",2010–2019,2010.0,1992,2026
14,77,17,1.95,12,"מאור כהן, הומוסקסואל, יוסי מרשק, גל פרידמן, נטע שפיגלמן","דרמה (9), להט""בי (3), מתח (2), תיעודי (2), הרפתקאות (1)","אורי סיון (1), גור בנטביץ' (1), שמואל קלדרון (1), שמוליק קלדרון (1), דן וולמן (1)",2000–2009,2011.4,1997,2025
15,71,15,1.72,9,"אביתר לזר, דין מירושניקוב, עומר ברנע, זהר ליבה, ישראל דמידוב","דרמה (7), להט""בי (2), קומדיה רומנטית (1), רומנטי (1), עלילתי באורך מלא (1)","אברהם קושניר (2), חיים בוזגלו (1), אריק קפלון (1), מיכל קופר-קרן (1), יורם גל (1)",2010–2019,2009.7,1994,2024
16,67,18,2.06,12,"לירית בלבן, גיא גורביץ, מתי סרי, ברוריה אלבק, ארז שפריר","דרמה (8), קומדיה (7), מוזיקלי (5), לילדים (4), ילדים (1)","עופר שפריר (4), לירן שטרית (2), יעוד לבנון (1), לאוניד גורביץ' (1), רחל שיין ארגמן (1)",2010–2019,2009.1,1993,2022
17,60,14,1.6,10,"ח'ליפה נאטור, שמואל אדלמן, יוסי סגל, מחמוד שלבי, מאיסה עבד אלהאדי","דרמה (11), דרמה קומית (1), להט""בי (1), מלחמה (1)","דליה הגר (1), דוד קריינר (1), יצחק רובין (1), אורן שטרן (1), שמי זרחין (1)",2000–2009,2011.1,1992,2025
18,59,17,1.95,12,"יעקב זדה דניאל, אורלי זילברשץ, רמי ברוך, לירון בן-שלוש, רן דנקר","דרמה (12), קומדיה רומנטית (1)","ניר ברגמן (2), מיכל בת-אדם (2), לי גילת (2), איתן פוקס (1), עמוס גיתאי (1)",2010–2019,2012.7,1994,2024
19,50,9,1.03,6,"עלמה זק, בני אבני, קובי מאור, שיר אידלסון, עירית בנדק","דרמה (3), קומדיה (2), נעורים (1), עצמאי (1), פארודיה (1)","אילן הייטנר (1), ארנון צדוק (1), מושון סלמונה (1), יורם זקס (1), אליאב לילטי (1)",2000–2009,2012.3,2002,2025
20,44,8,0.92,3,"לוסי דובינצ'יק, יובל רז, הילה מצקר, דן לחמן, הילה מצקר-הלוי","להט""בי (2), דרמה (2), דרמת נעורים (1), פנטזיה (1), עצמאי (1)","יאיר הוכנר (2), אורי סיון (1), ארי פולמן (1), קרן אביטן (1), עילית זקצר (1)",2000–2009,2008.5,1996,2019
21,42,7,0.8,4,"אלון דהן, עודד תאומי, יוסף אבו ורדה, יונתן בר-אור, רובא בלאל-עספור","דרמה (5), קומדיה (1), מלחמה (1), פעולה (1)","חנוך רוזן (1), עמוס גיתאי (1), דני יגיל (1), הדס בן ארויה (1), עילית זקצר (1)",2010–2019,2011.4,1998,2019
23,27,5,0.57,3,"ישי לפידות, ששי גז, גילי שושן, אבי גרייניק, סמי הורי","דרמה (3), מתח (2), מוזיקלי (1), פשע (1)","יהודה גרובייס (2), ערן ריקליס (1), עודד דוידוף (1), יונתן פז (1)",2020–Present,2013.4,1999,2026
